,SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
0,1267708,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,FIRE FIGHTING WATER,YES,0.0,UNKNOWN AMOUNT
1,1267709,NTO,000000-00-0,,1878.08,POUND(S),NITROUS OXIDE,NO,,
2,1267711,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,HERBICIDES,NO,,
3,1267711,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,PESTICIDES,NO,,
4,1267712,CRF,000000-00-0,,10.0,POUND(S),CHLOROFORM,NO,,
5,1267712,EDC,000000-00-0,,100.0,POUND(S),ETHYLENE DICHLORIDE,NO,,
6,1267713,OIL,000000-00-0,,1.5,GALLON(S),OIL: CRUDE,YES,1.5,GALLON(S)
7,1267714,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,OTHER OIL / POSSIBLY USED GREASE,YES,0.0,UNKNOWN AMOUNT
8,1267715,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0.0,UNKNOWN AMOUNT
9,1267716,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
10,1267717,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
11,1267718,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",UNKNOWN,0.0,UNKNOWN AMOUNT
12,1267719,ODS,000000-00-0,,120000.0,GALLON(S),OIL: DIESEL,NO,,
13,1267719,OLB,000000-00-0,,1200.0,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
14,1267719,OTH,000000-00-0,,650.0,GALLON(S),OTHER OIL,NO,,
15,1267720,OIL,000000-00-0,,30.0,BARREL(S),OIL: CRUDE,YES,0.0,UNKNOWN AMOUNT
16,1267721,OIL,000000-00-0,,50.0,BARREL(S),OIL: CRUDE,NO,,
17,1267722,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
