,SEQNOS,DESCRIPTION_OF_INCIDENT,TYPE_OF_INCIDENT,INCIDENT_CAUSE,INCIDENT_DATE_TIME,INCIDENT_DTG,INCIDENT_LOCATION,LOCATION_ADDRESS,LOCATION_STREET1,LOCATION_STREET2,LOCATION_NEAREST_CITY,LOCATION_STATE,LOCATION_COUNTY,LOCATION_ZIP,DISTANCE_FROM_CITY,DISTANCE_UNITS,DIRECTION_FROM_CITY,LAT_DEG,LAT_MIN,LAT_SEC,LAT_QUAD,LONG_DEG,LONG_MIN,LONG_SEC,LONG_QUAD,LOCATION_SECTION,LOCATION_TOWNSHIP,LOCATION_RANGE,POTENTIAL_FLAG,DATE_TIME_RECEIVED,DATE_TIME_COMPLETE,CALLTYPE,RESPONSIBLE_COMPANY,RESPONSIBLE_ORG_TYPE,RESPONSIBLE_CITY,RESPONSIBLE_STATE,RESPONSIBLE_ZIP,SOURCE,AIRCRAFT_TYPE,AIRCRAFT_MODEL,AIRCRAFT_ID,AIRCRAFT_FUEL_CAPACITY,AIRCRAFT_FUEL_CAPACITY_UNITS,AIRCRAFT_FUEL_ON_BOARD,AIRCRAFT_FUEL_O_B_UNITS,AIRCRAFT_SPOT_NUMBER,AIRCRAFT_HANGER,AIRCRAFT_RUNWAY_NUMBER,ROAD_MILE_MARKER,BUILDING_ID,TYPE_OF_FIXED_OBJECT,POWER_GENERATING_FACILITY,GENERATING_CAPACITY,TYPE_OF_FUEL,NPDES,NPDES_COMPLIANCE,PIPELINE_TYPE,DOT_REGULATED,PIPELINE_ABOVE_GROUND,EXPOSED_UNDERWATER,PIPELINE_COVERED,RAILROAD_HOTLINE,GRADE_CROSSING,LOCATION_SUBDIVISION,RAILROAD_MILEPOST,TYPE_VEHICLE_INVOLVED,CROSSING_DEVICE_TYPE,DEVICE_OPERATIONAL,DOT_CROSSING_NUMBER,BRAKE_FAILURE,DESCRIPTION_OF_TANK,TANK_ABOVE_GROUND,TRANSPORTABLE_CONTAINER,TANK_REGULATED,TANK_REGULATED_BY,TANK_ID,CAPACITY_OF_TANK,CAPACITY_OF_TANK_UNITS,ACTUAL_AMOUNT,ACTUAL_AMOUNT_UNITS,PLATFORM_RIG_NAME,PLATFORM_LETTER,LOCATION_AREAID,LOCATION_BLOCKID,OCSG_NUMBER,OCSP_NUMBER,STATE_LEASE_NUMBER,PIER_DOCK_NUMBER,BERTH_SLIP_NUMBER,CONTINUOUS_RELEASE_TYPE,INITIAL_CONTINUOUS_RELEASE_NO,CONTINUOUS_RELEASE_PERMIT,ALLISION,TYPE_OF_STRUCTURE,STRUCTURE_NAME,STRUCTURE_OPERATIONAL,AIRBAG_DEPLOYED,DATE_TIME_NORMAL_SERVICE,SERVICE_DISRUPTION_TIME,SERVICE_DISRUPTION_UNITS,TRANSIT_BUS_FLAG,CR_BEGIN_DATE,CR_END_DATE,CR_CHANGE_DATE,FBI_CONTACT,FBI_CONTACT_DATE_TIME,SUB_PART_C_TESTING_REQ,CONDUCTOR_TESTING,ENGINEER_TESTING,TRAINMAN_TESTING,YARD_FOREMAN_TESTING,RCL_OPERATOR_TESTING,BRAKEMAN_TESTING,TRAIN_DISPATCHER_TESTING,SIGNALMAN_TESTING,OTHER_EMPLOYEE_TESTING,UNKNOWN_TESTING,PASSENGER_HANDLING,PASSENGER_ROUTE,PASSENGER_DELAY,FIRE_INVOLVED,FIRE_EXTINGUISHED,ANY_EVACUATIONS,NUMBER_EVACUATED,WHO_EVACUATED,RADIUS_OF_EVACUATION,ANY_INJURIES,NUMBER_INJURED,NUMBER_HOSPITALIZED,ANY_FATALITIES,NUMBER_FATALITIES,ANY_DAMAGES,DAMAGE_AMOUNT,AIR_CORRIDOR_CLOSED,AIR_CORRIDOR_DESC,AIR_CLOSURE_TIME,WATERWAY_CLOSED,WATERWAY_DESC,WATERWAY_CLOSURE_TIME,ROAD_CLOSED,ROAD_DESC,ROAD_CLOSURE_TIME,CLOSURE_DIRECTION,MAJOR_ARTERY,TRACK_CLOSED,TRACK_DESC,TRACK_CLOSURE_TIME,MEDIA_INTEREST,MEDIUM_DESC,ADDITIONAL_MEDIUM_INFO,BODY_OF_WATER,TRIBUTARY_OF,NEAREST_RIVER_MILE_MAKER,RELEASE_SECURED,ESTIMATED_DURATION_OF_RELEASE,RELEASE_RATE,DESC_REMEDIAL_ACTION,STATE_AGENCY_ON_SCENE,STATE_AGENCY_REPORT_NUM,OTHER_AGENCY_NOTIFIED,WEATHER_CONDITIONS,AIR_TEMPERATURE,WIND_SPEED,WIND_DIRECTION,WATER_SUPPLY_CONTAMINATED,SHEEN_SIZE,SHEEN_COLOR,DIRECTION_OF_SHEEN_TRAVEL,SHEEN_ODOR_DESCRIPTION,WAVE_CONDITION,CURRENT_SPEED,CURRENT_DIRECTION,WATER_TEMPERATURE,TRACK_CLOSE_DIR,EMPL_FATALITY,PASS_FATALITY,COMMUNITY_IMPACT,WIND_SPEED_UNIT,EMPLOYEE_INJURIES,PASSENGER_INJURIES,OCCUPANT_FATALITY,CURRENT_SPEED_UNIT,ROAD_CLOSURE_UNITS,TRACK_CLOSURE_UNITS,SHEEN_SIZE_UNITS,ADDITIONAL_INFO,STATE_AGENCY_NOTIFIED,FEDERAL_AGENCY_NOTIFIED,NEAREST_RIVER_MILE_MARKER,SHEEN_SIZE_LENGTH,SHEEN_SIZE_LENGTH_UNITS,SHEEN_SIZE_WIDTH,SHEEN_SIZE_WIDTH_UNITS,OFFSHORE,DURATION_UNIT,RELEASE_RATE_UNIT,RELEASE_RATE_RATE,PASSENGERS_TRANSFERRED,new_latitude,new_longitude,new_latquad,new_longquad,new_street,geometry,address
0,1267707,CALLER REPORTED A TRAIN STRUCK AN UNOCCUPIED VEHICLE CAUSING A DELAY TO SERVICE.,RAILROAD NON-RELEASE,TRESPASSER,12/31/2019 23:30,OCCURRED,CLEVELAND ST,MP 455.6,,,SPARTANBURG,SC,SPARTANBURG,,,,,,,,,,,,,,,,N,2020-01-01 00:14:00,2020-01-01 00:21:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,Y,CHARLOTTE,455.6,PASSENGER CAR,GATES/LIGHTS/BELLS,Y,716652A,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,NO,,,,,,,,,,,PASSENGERS WILL WAIT ONBOARD.,YES,YES,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),TRESPASSER INCIDENT,,,,U,,,,,,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (-81.93486785888672 34.94824981689453),"Spartanburg, SC, United States"
1,1267708,"CALLER IS REPORTING A SPILL OF FIRE FIGHTING WATER.   CALLER STATED THE SPILL OF MATERIALS WENT INTO THE DUWAMISH WATERWAY AND WAS DUE TO A TUG TOWING BARGE ALLISION WITH THE PIER AT THE INCIDENT LOCATION .   CALLER STATED THERE WAS NO DAMAGE TO THE VESSELS BUT THERE WAS DAMAGE TO THE PIER.

TUG: ISLAND VENTURE,  BARGE: ITB 251",FIXED,UNKNOWN,12/31/2019 18:30,OCCURRED,FISHER FLOUR MILL,3235 16TH AVE SW,DUWAMISH WATERWAY,,SEATTLE,WA,KING,98134.0,,,,,,,,,,,,,,,N,2020-01-01 00:27:00,2020-01-01 00:42:00,INC,ISLAND TUG AND BARGE,PRIVATE ENTERPRISE,SEATTLE,WA,98106.0,TELEPHONE,,,,,,,,,,,,,PORT FACILITY,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,DUWAMISH WATERWAY,DUWAMISH WATERWAY,,,N,,,CALLER STATED THE FIRE DEPARTMENT IS CURRENTLY ON THE SCENE.,SEATTLE FIRE DEPT,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,"FIRE DEPT, KING COUNTY PUB WRKS",USCG SECTOR PUGET SOUND,,,,,,N,,,,NO,,,,,3235 16TH AVE SW,POINT (-122.356791 47.57552),"3235 16th Ave SW, Seattle, WA 98134, United States"
2,1267709,CALLER REPORTED A RELEASE OF 1878.08 POUNDS OF NITROUS OXIDE RELEASED DUE TO EQUIPMENT FAILURE WHEN A VALVE DIDNT WORK BECAUSE OF COLD WEATHER.,FIXED,EQUIPMENT FAILURE,12/31/2019 3:25,OCCURRED,,SEE LAT/LONG,,,,WY,LINCOLN,,,,,41.0,53.0,0.0,N,110.0,4.0,30.0,,,,,N,2020-01-01 02:49:00,2020-01-01 02:57:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,OTHER,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,INVESTIGATION UNDERWAY,,,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,41.88333333333333,-110.075,N,,,POINT (-110.075 41.88333333333333),
3,1267711,CALLER REPORTED A FIRE IN A CHEMICAL WAREHOUSE DUE TO UNKNOWN REASONS.  CALLER STATED THERE WAS A RELEASE OF HERBICIDES AND PESTICIDES. THE WAREHOUSE WAS EMPTY AT THE TIME. THERE WERE NO INJURIES AND NO WATERWAYS AFFECTED.,FIXED,UNKNOWN,1/1/2020 3:45,DISCOVERED,,506 W LINCOLN,,,IOLA,KS,ALLEN,,,,,,,,,,,,,,,,N,2020-01-01 05:55:00,2020-01-01 06:07:00,INC,MIDWEST FERTILIZER INC,PRIVATE ENTERPRISE,HOLLISTER,MO,65672.0,TELEPHONE,,,,,,,,,,,,,WAREHOUSE,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,Y,N,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,GROUND,,,,Y,,,"EXCAVATED SOIL, CLEAN UP UNDERWAY, INVESTIGATION UNDERWAY",FD,,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (-95.40579986572266 37.92142105102539),"Iola, KS, United States"
4,1267712,CALLER STATED DUE TO A LEAKING PIPE THERE WAS AN AIR RELEASE AT THE FACILITY.,FIXED,EQUIPMENT FAILURE,1/1/2020 4:30,OCCURRED,,2400 MILLER CUTOFF RD,,,LAPORTE,TX,HARRIS,77571.0,,,,,,,,,,,,,,,N,2020-01-01 06:00:00,2020-01-01 06:06:00,INC,"OXY VINYLS, LP",PRIVATE ENTERPRISE,LAPORTE,TX,77571.0,TELEPHONE,,,,,,,,,,,,,CHEMICAL FACILITY,N,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,CALLER STATED THE PIPE WAS REPAIR WITH A TEMP PATCH AND THEY ARE SHUTTING DOWN THE SYSTEM.,,48201-2020-3,,,,,,U,,,,,,,,,,,,,,,,,,,,,,LEPC,,,,,,,N,,,,NO,,,,,,POINT (-95.02480316162109 29.65249061584473),"La Porte, TX, United States"
5,1267713,"CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 1.5 GALLONS OF CRUDE OIL INTO THE GULF OF MEXICO AT THE INCIDENT LOCATION. DISCHARGE WAS FROM THE GUMBO BOX ON A PLATFORM, DUE TO UNKNOWN CAUSES.",PLATFORM,UNKNOWN,1/1/2020 8:55,OCCURRED,WEST DELTA BLOCK 107,,,,,LA,WEST DELTA AREA,,,,,28.0,52.0,37.0,N,89.0,32.0,9.0,W,,,,N,2020-01-01 10:42:00,2020-01-01 10:53:00,INC,WALTER OIL AND GAS,PRIVATE ENTERPRISE,HOUSTON,TX,77002.0,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,VALARIS RIG 75,,WEST DELTA AREA,107,8736,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,GULF OF MEXICO,GULF OF MEXICO,,,Y,,,STOPPED CIRCULATING THE WELL,,,,,,,,U,,BARELY DISCERNIBLE,,,,,,,,,,,,,,,,,,,,,,,300.0,FEET,30.0,FEET,Y,,,,NO,28.876944444444444,-89.53583333333333,N,W,,POINT (-89.53583333333333 28.87694444444444),
6,1267714,CALLER REPORTS EMPLOYEES OF THE CONVENIENT STORE POUR USED GREASED INTO A DRAIN IN THE STORE WHICH FLOWS INTO A LAKE THROUGH A DITCH. WHEN IT RAINS THE GREASE FLOWS INTO THE REPORTING PARTY'S YARD FROM THE OPEN DITCH.,FIXED,DUMPING,9/1/2019 12:00,DISCOVERED,,4940 GRACE CHAPEL RD,,,GRANITE FALLS,NC,CALDWELL,,,,,,,,,,,,,,,,N,2020-01-01 11:13:00,2020-01-01 11:24:00,INC,MARKET BASKET,PRIVATE ENTERPRISE,GRANITE FALLS,NC,,TELEPHONE,,,,,,,,,,,,,OTHER,N,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,,DRAIN,DITCH / LAKE,,N,,,,,,,,,,,U,,DARK BROWN,,VERY FOUL ODOR / ROTTEN / OLD GREASE,,,,,,,,,,,,,,,,,,COUNTY HEALTH DEPT,,,,,,,N,,,,NO,,,,,,POINT (-81.43422698974609 35.79914093017578),"Granite Falls, NC, United States"
7,1267715,CALLER STATES THERE IS A 50 GALLON BARREL AT A GAS STATION THAT THEY USE TO PUT OVERFLOWED GASOLINE OR OLD GASOLINE INTO BUT IT IS RUSTED AND LEAKING ONTO THE GROUND.  THIS HAS BEEN ONGOING FOR OVER 8 MONTHS.,FIXED,OTHER,1/1/2020 8:00,OCCURRED,,4419 COMMERCE AVE,,,EUGENE,OR,LANE,97402.0,,,,,,,,,,,,,,,N,2020-01-01 11:21:00,2020-01-01 11:27:00,INC,SPACE AGE,PRIVATE ENTERPRISE,EUGENE,OR,97402.0,TELEPHONE,,,,,,,,,,,,,GAS STATION,N,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ASPHALT; CONCRETE,,,,U,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,CALLER STATES THE MANAGER HAS BEEN TOLD ABOUT THE ISSUE MULTIPLE TIMES BUT THEY STILL ALLOW THE BARREL TO LEAK.  THERE ARE ALSO NO CLEANUP MEASURES TAKEN.,,,,,,,,N,,,,NO,,,,,,POINT (-123.0885391235352 44.04991912841797),"Eugene, OR, United States"
8,1267716,CALLER IS REPORTING AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE IN THE GULF OF MEXICO AT THE INCIDENT LOCATION.,UNKNOWN SHEEN,UNKNOWN,1/1/2020 10:20,DISCOVERED,WEST DELTA BLOCK 73,,,,,LA,WEST DELTA AREA,,,,,28.0,56.0,51.0,N,89.0,42.0,22.0,W,,,,N,2020-01-01 11:34:00,2020-01-01 11:40:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,WEST DELTA AREA,73,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,GULF OF MEXICO,GULF OF MEXICO,,,U,,,NONE,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,100.0,YARDS,20.0,YARDS,Y,,,,NO,28.9475,-89.70611111111111,N,W,,POINT (-89.70611111111111 28.9475),
9,1267717,CALLER REPORTS A DISCHARGE OF AN UNKNOWN AMOUNT OF DIESEL ONTO THE GROUND AND INTO A STORM DRAIN FROM THE FUEL TANK ON A VEHICLE DUE TO AN ACCIDENT.,MOBILE,OTHER,1/1/2020 8:17,OCCURRED,,1400 S.E. BUTLER BRIDGE ROAD,,,TOLEDO,OR,LINCOLN,97391.0,,,,,,,,,,,,,,,N,2020-01-01 11:54:00,2020-01-01 12:03:00,INC,MAY TRUCKING,PRIVATE ENTERPRISE,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,N,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,,STORM DRAIN,YAQUINA RIVER,,N,,,"CALLER REPORTS THEY ARE INVESTIGATING WHETHER THE SPILL HAS REACHED THE RIVER, BOOMS AND PADS ARE BEING USED AROUND THE STORM DRAIN.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (-123.9373474121094 44.62224960327148),"Toledo, OR, United States"
