,SEQNOS,TRAIN_NAME_NUMBER,CAR_NUMBER,CAR_CONTENT,POSITION_IN_TRAIN,DERAILED_TYPE
0,1267736,MNPFR OF THE 30TH,AEX9153,FEED,,CAR
1,1267736,MNPFR OF THE 30TH,NATX301503,ALCOHOL,,CAR
2,1267736,MNPFR OF THE 30TH,UTLX208581,ALCOHOL,,CAR
3,1267736,MNPFR OF THE 30TH,UP90744,CORN,,CAR
4,1267736,MNPFR OF THE 30TH,CHTT721087,CORN,,CAR
5,1267736,MNPFR OF THE 30TH,CITX701456,CORN,,CAR
6,1267736,MNPFR OF THE 30TH,UTLX210607,ALCOHOL,,CAR
7,1267736,MNPFR OF THE 30TH,UTLX209731,DENATURED FUEL ETHANOL,,CAR
8,1267736,MNPFR OF THE 30TH,UTLX668612,POLYESTER,,CAR
9,1267736,MNPFR OF THE 30TH,TBOX642159,CEMENT,,CAR
10,1267736,MNPFR OF THE 30TH,UTLX211987,ALCOHOL,,CAR
11,1267737,HNTWPAS930A,BNSF8127,,,LOCOMOTIVE
12,1267737,HNTWPAS930A,BNSF4347,,,LOCOMOTIVE
13,1267745,HGALKCK101,AOKX78489,FEED,138.0,CAR
14,1267855,475-02,GONX340125,EMPTY,14.0,CAR
15,1267855,475-02,UTLX671761,NONYLPHENOL,20.0,CAR
16,1267855,475-02,BIMX400014,EMPTY,12.0,CAR
17,1267855,475-02,BIMX100320,EMPTY,11.0,CAR
18,1267855,475-02,BIMX498327,EMPTY,10.0,CAR
19,1267855,475-02,CEPX1492,EMPTY,9.0,CAR
20,1267855,475-02,MKCR3591,EMPTY,8.0,CAR
21,1267855,475-02,CP337524,EMPTY,7.0,CAR
22,1267855,475-02,FMW316492,EMPTY,5.0,CAR
23,1267855,475-02,FMW315863,EMPTY,4.0,CAR
24,1267855,475-02,TTPX804586,STEEL,1.0,CAR
25,1267855,475-02,CP355010,EMPTY,15.0,CAR
26,1267855,475-02,GONX340289,EMPTY,16.0,CAR
27,1267855,475-02,UCRY6573,EMPTY,17.0,CAR
28,1267855,475-02,BIMX100910,EMPTY,18.0,CAR
29,1267855,475-02,TILX293643,EMPTY,19.0,CAR
30,1267855,475-02,CBFX305116,EMPTY,13.0,CAR
31,1267886,475-02,TILX293643,EMPTY,19.0,CAR
32,1267886,475-02,BIMX100910,EMPTY,18.0,CAR
33,1267886,475-02,UCRY6573,EMPTY,17.0,CAR
34,1267886,475-02,GONX340289,EMPTY,16.0,CAR
35,1267886,475-02,CP355010,EMPTY,15.0,CAR
36,1267886,475-02,GONX340125,EMPTY,14.0,CAR
37,1267886,475-02,CBFX305116,EMPTY,13.0,CAR
38,1267886,475-02,BIMX400014,EMPTY,12.0,CAR
