,SEQNOS,TRAIN_NAME_NUMBER,RAILROAD_NAME,TRAIN_TYPE,TRACK_SPEED,TRAIN_SPEED,TRAIN_DIRECTION,NUMBER_LOCOMOTIVES,NUMBER_CARS,NUMBER_DERAILED,NON_COMPLIANCE_WITH_HAZMAT
0,1267707,020-31,NORFOLK SOUTHERN RAILROAD,PASSENGER,,,,,,,U
1,1267724,70401,BRIGHTLINE,PASSENGER,,,,2.0,4.0,,N
2,1267730,518,MBTA,COMMUTER,,,,1.0,5.0,1.0,U
3,1267736,MNPFR OF THE 30TH,UNION PACIFIC RAILROAD,FREIGHT,,,,4.0,116.0,11.0,U
4,1267737,HNTWPAS930A,BNSF RAILWAY,FREIGHT,,,W,3.0,112.0,2.0,U
5,1267738,A55.01,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,E,2.0,42.0,,U
6,1267739,HGALBAR130L,BNSF RAILWAY,FREIGHT,50.0,,W,3.0,70.0,,U
7,1267741,796 OF THE 1ST,AMTRAK,PASSENGER,,,S,1.0,6.0,,U
8,1267742,98 OF THE 1ST,AMTRAK,PASSENGER,,,N,,,,U
9,1267743,796CDTX2113,SAN DIEGO NORTH COUNTY TRANSIT DISTRICT,PASSENGER,,,,,,,U
10,1267745,HGALKCK101,BNSF RAILWAY,FREIGHT,,,W,6.0,140.0,1.0,U
11,1267747,BAYL507,ALABAMA GULF COAST RAILROAD,LOCOMOTIVE,,,,,,,U
12,1267767,245,SEPTA,PASSENGER,,,S,,3.0,,U
13,1267769,BNSF3917,BNSF RAILWAY,FREIGHT,,,W,3.0,100.0,0.0,N
14,1267795,5431,NJ TRANSIT,PASSENGER,,,,1.0,10.0,0.0,U
15,1267814,812,METROLINK,PASSENGER,,,W,,,,U
16,1267815,SCAX929,METRO LINK,PASSENGER,90.0,,E,,,,U
17,1267827,5711,NJTRANSIT,PASSENGER,80.0,,W,1.0,7.0,,U
18,1267855,475-02,CANADIAN PACIFIC RAILWAY,FREIGHT,40.0,36.0,N,2.0,150.0,24.0,U
19,1267857,UP7449,UNION PACIFIC RAILROAD,LOCOMOTIVE,,,,,,,U
20,1267886,475-02,CANADIAN PACIFIC RAILWAY,FREIGHT,40.0,36.0,N,2.0,150.0,24.0,U
21,1267891,P85503,CSX/ MARC,PASSENGER,,,,,,,U
22,1267892,475-02,CANADIAN PACIFIC RAILWAY,FREIGHT,40.0,36.0,N,2.0,150.0,24.0,U
23,1267909,A718103,AMTRAK,PASSENGER,,,E,,,,U
24,1267910,506.02,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,,,,,U
