,SEQNOS,MOBILE_TYPE,VEHICLE_NUMBER,TRAILER_NUMBER,VEHICLE_OWN_FUEL_CAPACITY,CARGO_CAPACITY,CARGO_CAPACITY_UNITS,AMOUNT_OF_CARGO_ON_BOARD,AMOUNT_OF_CARGO_ON_BOARD_UNITS,HAZMAT_CARRIER,CARRIER_LICENSED,NONCOMPLIANCE_WITH_HAZMAT,VEHICLE_YEAR,VEHICLE_MAKE,VEHICLE_MODEL
0,1267717,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
1,1267721,TANKER TRUCK,UNKNOWN,,,120.0,BARREL(S),,,U,U,U,,,
2,1267725,TRACTOR TRAILER TRUCK,UNKNOWN,,200.0,,,,,N,N,U,,,
3,1267740,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
4,1267746,TANKER TRUCK,52017,,,,,,,Y,Y,N,,,
5,1267753,TRACTOR TRAILER,UNKNOWN,,160.0,,,,,N,U,U,,,
6,1267770,OTHER,NONE,,,,,,,Y,U,U,,,
7,1267780,TANKER TRUCK,3252541,,,6000.0,GALLON(S),,,Y,Y,N,,,
8,1267781,UNKNOWN,MOBILE TRUCK,,,,,,,U,U,U,,,
9,1267791,TRACTOR TRAILER,689150,,120.0,,,,,N,U,N,,,
10,1267792,MILITARY VEHICLE,NONE,,300.0,,,,,U,U,U,,,
11,1267807,OTHER,UNKNOWN,,,,,,,U,U,U,,,
12,1267823,TRACTOR TRAILER,1345,,,,,,,U,U,U,,,
13,1267826,OTHER,UNKNOWN,,,,,,,U,U,U,,,
14,1267838,TANKER TRUCK,191203,137147,,0.0,UNKNOWN AMOUNT,0.0,UNKNOWN AMOUNT,Y,Y,N,,,
15,1267846,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
16,1267853,OTHER,UNKNOWN,,,,,,,U,U,U,,,
17,1267870,OTHER,UNKNOWN,,,,,,,U,U,U,,,
18,1267900,OTHER,UNKNOWN,,,,,,,U,U,U,,,
19,1267903,TANKER TRUCK,859,T190,,,,,,U,U,U,,,
20,1267904,TRACTOR TRAILER,UNKNOWN,,,,,,,U,U,U,,,
21,1267912,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
22,1267937,TANKER TRUCK,202,,,,,,,Y,Y,N,,,
23,1267938,OTHER,1200,,,,,,,U,U,U,,,
24,1267953,DUMP TRUCK,2019,,,,,,,U,U,U,,,
25,1267954,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
26,1268021,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
27,1268023,TRACTOR TRAILER TRUCK,662050,1883,,,,40000.0,POUND(S),U,U,U,,,
28,1268024,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
29,1268038,OTHER,1048466,,,,,,,U,U,U,,,
30,1268039,TRACTOR TRAILER,J5329,,,,,,,U,U,U,,,
31,1268046,OTHER,UNKNOWN,,,,,,,U,U,U,,,
32,1268061,TRACTOR TRAILER,265757,UNKNOWN,,0.0,UNKNOWN AMOUNT,0.0,UNKNOWN AMOUNT,U,U,U,,,
33,1268077,OTHER,OTHER,,,,,,,U,U,U,,,
34,1268086,TRACTOR TRAILER TRUCK,8105,,,,,,,U,U,U,,,
35,1268091,COMMERCIAL TRUCK,UPGF13147,,,,,,,U,U,U,,,
36,1268100,CONSTRUCTION VEHICLE,TEXAS DOT 007303468C,,,,,,,U,U,U,,,
37,1268110,OTHER,#2490,,,,,,,U,U,U,,,
38,1268115,TANKER TRUCK,UNIT 125,,2500.0,,,,,Y,Y,N,,,
39,1268134,TRACTOR TRAILER TRUCK,685022,,,,,,,U,U,U,,,
40,1268138,DUMP TRUCK,UNKNOWN,,,,,,,N,N,U,,,
41,1268140,OTHER,OTHER,,,,,,,U,U,U,,,
42,1268146,TRACTOR TRAILER,UNKNOWN,,,,,,,N,U,N,,,
43,1268148,PASSENGER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
44,1268152,TRACTOR TRAILER TRUCK,204404,,,,,,,U,U,U,,,
45,1268183,CONSTRUCTION VEHICLE,2020-09-03 00:00:00,,,,,,,U,U,U,,,
46,1268185,TRACTOR TRAILER TRUCK,425,,,,,,,U,U,U,,,
47,1268199,TRACTOR TRAILER,1399,1696,,,,,,U,U,U,,,
48,1268200,TRACTOR TRAILER TRUCK,165707,,80.0,,,,,U,U,U,,,
49,1268206,TRACTOR TRAILER,193327,R17470,,,,,,U,U,U,,,
50,1268209,DUMP TRUCK,868ESM,,,,,,,U,U,U,,,
51,1268232,TRACTOR TRAILER TRUCK,2267602 (DOT),,,,,,,U,U,U,,,
52,1268241,OTHER,UNKNOWN,,,,,,,U,U,U,,,
53,1268245,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
54,1268247,TRACTOR TRAILER TRUCK,782220,,,,,,,U,U,U,,,
55,1268252,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
56,1268252,COMMERCIAL TRUCK,UNKNOWN1,,,,,,,U,U,U,,,
57,1268256,TRACTOR TRAILER TRUCK,21558,,,,,,,U,U,U,,,
58,1268259,TRACTOR TRAILER,18208,73-7341,,,,,,U,U,U,,,
59,1268260,TANKER TRUCK,YKD6168,UNKNOWN,,3000.0,GALLON(S),3000.0,GALLON(S),U,U,U,,,
60,1268277,PASSENGER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
61,1268280,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
62,1268284,COMMERCIAL TRUCK,UNKNOWN,,,,,,,U,U,U,,,
63,1268301,OTHER,LINE CART,,,,,,,U,U,U,,,
64,1268309,TRACTOR TRAILER TRUCK,103,,,,,,,U,U,U,,,
65,1268321,COMMERCIAL TRUCK,289259,,,,,,,U,U,U,,,
66,1268330,TRACTOR TRAILER,50532,,,,,,,U,U,U,,,
67,1268338,PASSENGER TRUCK,KW6890,,,,,,,U,U,U,,,
68,1268341,DUMP TRUCK,,,,,,,,U,U,U,,,
69,1268347,OTHER,CA 2TJC389,,,,,,,U,U,U,,,
70,1268358,TANKER TRUCK,408,,,,,,,U,U,U,,,
71,1268359,COMMERCIAL TRUCK,3037,,,,,,,U,U,U,,,
72,1268366,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
73,1268391,TRACTOR TRAILER TRUCK,UNKNOWN1,,,,,,,U,U,U,,,
74,1268391,TRACTOR TRAILER TRUCK,UNKNOWN 2,,,,,,,U,U,U,,,
75,1268392,TRACTOR TRAILER,81245,,300.0,,,,,U,U,U,,,
76,1268402,OTHER,UNKNOWN,,,,,,,U,U,U,,,
77,1268407,TRACTOR TRAILER TRUCK,181318,,,,,,,N,N,U,,,
78,1268420,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
79,1268424,TRACTOR TRAILER TRUCK,23438,,,,,,,U,U,U,,,
80,1268446,TANKER TRUCK,90831,90831,,,,1100.0,GALLON(S),Y,Y,N,,,
81,1268451,OTHER,400,,,,,,,N,U,U,,,
82,1268483,TANKER TRUCK,33149,,,,,,,U,U,U,,,
83,1268489,TANKER TRUCK,648681,5377,,,,,,U,U,U,,,
84,1268499,COMMERCIAL TRUCK,180252,,,,,,,N,N,U,,,
85,1268513,TANKER TRUCK,UNKNOWN,801,,13400.0,GALLON(S),13400.0,GALLON(S),Y,Y,U,,,
86,1268533,CONSTRUCTION VEHICLE,2020-09-06 00:00:00,,,,,,,U,U,U,,,
87,1268536,TRACTOR TRAILER,5757,,,,,,,U,U,U,,,
88,1268552,TRACTOR TRAILER,UNKNOWN,,,,,,,U,U,U,,,
89,1268556,TRACTOR TRAILER,691402,,,,,,,U,U,U,,,
90,1268564,TRACTOR TRAILER,G71095,,,,,,,U,U,U,,,
91,1268565,TRACTOR TRAILER,AW392H,,,,,,,U,U,U,,,
92,1268578,OTHER,1696/1698,,,,,,,N,Y,Y,,,
93,1268583,OTHER,UNKNOWN,,4500.0,,,,,Y,Y,N,,,
94,1268586,COMMERCIAL TRUCK,UNKNOWN,,,,,,,U,U,U,,,
95,1268609,TRACTOR TRAILER TRUCK,358122,,,,,,,U,U,U,,,
96,1268614,COMMERCIAL TRUCK,620100,,,,,,,U,U,U,,,
97,1268626,TRACTOR TRAILER,NONE,,,,,,,U,U,U,,,
98,1268628,PASSENGER CAR,UNKNOWN,,,,,,,N,U,N,,,
99,1268637,TRACTOR TRAILER,48272,,,,,,,U,U,U,,,
100,1268641,TRACTOR TRAILER TRUCK,49613,,,,,,,N,U,U,,,
101,1268658,OTHER,TI1500,,50.0,,,,,U,U,U,,,
102,1268685,TANKER TRUCK,201204,157203,,9500.0,GALLON(S),6900.0,GALLON(S),Y,U,N,,,
103,1268688,DUMP TRUCK,3100,,,,,,,U,U,U,,,
104,1268701,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
105,1268719,TRACTOR TRAILER TRUCK,100,,,,,,,U,U,U,,,
106,1268725,TRACTOR TRAILER TRUCK,170,,,,,,,U,U,U,,,
107,1268731,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
108,1268741,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
109,1268746,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
110,1268760,COMMERCIAL TRUCK,UNKNOWN,,,,,,,U,U,U,,,
111,1268768,OTHER,UNKNOWN,,,,,,,U,U,U,,,
112,1268769,TRACTOR TRAILER,84,,,,,,,U,U,U,,,
113,1268775,OTHER,UNKNOWN,,,,,,,U,U,U,,,
114,1268784,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
115,1268815,TRACTOR TRAILER TRUCK,2557230,,,,,,,U,U,U,,,
116,1268826,TRACTOR TRAILER TRUCK,T101,,,,,,,U,U,U,,,
117,1268834,TRACTOR TRAILER TRUCK,,,,,,,,U,U,U,,,
118,1268840,TRACTOR TRAILER TRUCK,,,,,,,,U,U,U,,,
119,1268850,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
120,1268852,TRACTOR TRAILER,UNKNOWN,,100.0,,,,,Y,Y,U,,,
121,1268854,TRACTOR TRAILER,UNKNOWN,,,,,,,U,U,U,,,
122,1268876,TANKER TRUCK,ICC MC 241613,,,,,,,U,U,U,,,
123,1268897,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
124,1268908,TRACTOR TRAILER,U14202,,,,,,,U,U,N,,,
125,1268909,CONSTRUCTION VEHICLE,906,,,,,,,U,U,U,,,
126,1268912,TANKER TRUCK,,,,,,,,U,U,U,,,
127,1268943,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
128,1268945,PASSENGER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
129,1268948,DUMP TRUCK,TXDOT 006644044C,,,,,,,U,U,U,,,
130,1268954,TRACTOR TRAILER,16145,193496,150.0,2000.0,CUBIC FEET,0.0,CUBIC FEET,U,U,U,,,
131,1268962,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
132,1268967,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
133,1268972,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
134,1268974,PASSENGER CAR,UNKNOWN,,,,,,,N,U,U,,,
135,1268980,COMMERCIAL TRUCK,187747,,,,,,,U,U,U,,,
136,1268982,TRACTOR TRAILER TRUCK,DOT#3018177,,,,,,,N,N,U,,,
137,1268997,OTHER,UNKNOWN,,,,,,,U,U,U,,,
138,1269020,TRACTOR TRAILER TRUCK,UNKNOWN,UNKNOWN,,,,,,Y,Y,U,,,
139,1269027,TANKER TRUCK,UNKNOWN,UNKNOWN,,,,,,N,U,U,,,
140,1269034,COMMERCIAL TRUCK,UNKNOWN,,,,,,,U,U,U,,,
141,1269044,TANKER TRUCK,C6 HA002236,,,3500.0,GALLON(S),2500.0,GALLON(S),U,U,U,,,
142,1269048,TRACTOR TRAILER TRUCK,DOT#2051129,,,,,,,U,U,U,,,
143,1269070,TRACTOR TRAILER,203173,,,,,,,U,U,U,,,
144,1269086,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
145,1269089,OTHER,BOOM TRUCK,,,,,,,U,U,U,,,
146,1269095,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
147,1269107,TRACTOR TRAILER,149715,,,,,,,U,U,U,,,
148,1269118,CONSTRUCTION VEHICLE,UNKNOWN,,,,,,,U,U,U,,,
149,1269120,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
150,1269124,TRACTOR TRAILER,65011,,,,,,,U,U,U,,,
151,1269145,OTHER,CHIPPER TRUCK,,,,,,,U,U,U,,,
152,1269148,TRACTOR TRAILER TRUCK,1834,,,,,,,U,U,U,,,
153,1269152,TRACTOR TRAILER,351580,,,,,,,U,U,U,,,
154,1269162,TRACTOR TRAILER TRUCK,67273,UNKNOWN,150.0,,,,,U,U,U,,,
155,1269164,TRACTOR TRAILER,UNKNOWN,UNKNOWN,,,,,,U,U,U,,,
156,1269192,TRACTOR TRAILER TRUCK,1031,,,,,,,U,U,U,,,
157,1269207,CONSTRUCTION VEHICLE,UNKNOWN,,,,,,,U,U,U,,,
158,1269214,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
159,1269218,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
160,1269222,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
161,1269233,COMMERCIAL TRUCK,339625,,,,,,,U,Y,U,,,
162,1269246,TRACTOR TRAILER TRUCK,48171,,,,,,,N,N,U,,,
163,1269246,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,N,N,U,,,
164,1269249,TRACTOR TRAILER TRUCK,148745,835367 & 839156,,,,,,U,U,U,,,
165,1269253,TRACTOR TRAILER TRUCK,76502,,,,,,,U,U,U,,,
166,1269253,TRACTOR TRAILER TRUCK,264184,,,,,,,U,U,U,,,
167,1269272,OTHER,DE-ICING BOOM TRUCK,,,,,,,U,U,U,,,
168,1269276,TANKER TRUCK,1964,1002CC,,,,6500.0,GALLON(S),Y,Y,U,,,
169,1269300,DUMP TRUCK,1294,,,,,,,U,U,U,,,
170,1269304,PASSENGER CAR,PA - JZB3487,,,,,,,N,U,U,,,
171,1269308,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,N,U,U,,,
172,1269312,DUMP TRUCK,UNKNOWN,,,,,,,N,U,U,,,
173,1269319,MILITARY VEHICLE,P19R FIRE TRUCK,,,,,,,U,U,U,,,
174,1269325,TANKER TRUCK,315C,,,4400.0,GALLON(S),,,Y,Y,U,,,
175,1269329,TANKER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
176,1269339,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
177,1269348,DUMP TRUCK,UNKNOWN,,,,,,,U,U,U,,,
178,1269368,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
179,1269369,OTHER,59,,,,,,,U,U,U,,,
180,1269373,TRACTOR TRAILER TRUCK,3452,,,,,,,U,U,U,,,
181,1269384,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
182,1269404,OTHER,UNKNOWN,,,,,,,U,U,U,,,
183,1269421,TRACTOR TRAILER TRUCK,180947,,,,,,,N,N,U,,,
184,1269424,TRACTOR TRAILER TRUCK,2550840 (IN),,,,,,,N,N,U,,,
185,1269430,CONSTRUCTION VEHICLE,,,,,,,,U,U,U,,,
186,1269433,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
187,1269448,FORK LIFT,UNKNOWN,,,,,,,U,U,U,,,
188,1269464,PASSENGER TRUCK,UNKNOWN 1,,,,,,,U,U,U,,,
189,1269464,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
190,1269466,COMMERCIAL TRUCK,UNKNOWN,,,,,,,U,U,U,,,
191,1269467,PASSENGER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
192,1269475,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
193,1269488,OTHER,UNKNOWN,,,,,,,U,U,U,,,
194,1269492,PASSENGER TRUCK,8M89940,,,,,,,U,U,U,,,
195,1269500,PASSENGER TRUCK,,,,,,,,U,U,U,,,
196,1269518,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
197,1269526,TANKER TRUCK,UNKNOWN,,,,,,,Y,Y,U,,,
198,1269527,TRACTOR TRAILER TRUCK,55300,81813,,,,,,Y,Y,U,,,
199,1269532,OTHER,UNKNOWN,,,,,,,N,N,U,,,
200,1269534,TANKER TRUCK,201303,,,,,,,U,U,U,,,
201,1269541,OTHER,UNKNOWN,,,,,,,U,U,U,,,
202,1269550,FARM VEHICLE,TRACK HO,,,,,,,U,U,U,,,
203,1269577,TRACTOR TRAILER,UNKNOWN,,,,,,,Y,Y,N,,,
204,1269578,TRACTOR TRAILER TRUCK,UNKNOWN,,,,,,,U,U,U,,,
205,1269579,TRACTOR TRAILER,UNKNOWN,243,,,,,,U,U,U,,,
206,1269583,PASSENGER CAR,,,,,,,,U,U,U,,,
207,1269589,TRACTOR TRAILER,UNKNOWN,750,,120.0,BARREL(S),,,Y,Y,U,,,
208,1269601,PASSENGER CAR,UNKNOWN,,,,,,,U,U,U,,,
209,1269628,CONSTRUCTION VEHICLE,52T61,,,,,,,N,N,U,,,
210,1269635,TRACTOR TRAILER,3775,,,,,,,U,U,U,,,
211,1269635,UNKNOWN,UNKNOWN,,,,,,,U,U,U,,,
212,1269637,TANKER TRUCK,UNKNOWN,,9000.0,,,,,Y,Y,U,,,
